Th, T
1213, 1
1091, 1
1251, 1
1077, 1
1099, 1
1099, 1
1106, 1
180, 1
887, 1
1305, 1
901, 1
1190, 1
1409, 1
1061, 1
784, 1
888, 1
817, 1
925, 1
791, 1
776, 1
619, 1
664, 1
1156, 1
1292, 1
1294, 1
1101, 1
1172, 1
1242, 1
1089, 1
1184, 1
1027, 1
1027, 1
1065, 1
1251, 1
1202, 1
1127, 1
601, 1
374, 1
693, 1
965, 1
835, 1
837, 1
734, 1
845, 1
705, 1
447, 1
339, 1
72, 1
72, 1
72, 1
125, 1
125, 1
125, 1
125, 1
125, 1
125, 1
125, 1
228, 1
366, 1
387, 1
318, 1
299, 1
145, 1
328, 1
328, 1
405, 1
164, 1
534, 1
778, 1
1036, 1
999, 1
1314, 1
785, 1
667, 1
818, 1
1200, 1
1265, 1
1018, 1
1140, 1
948, 1
882, 1
937, 1
937, 1
1049, 1
1049, 1
871, 1
950, 1
987, 1
949, 1
998, 1
1082, 1
1179, 1
1319, 1
1405, 1
1183, 1
1183, 1
1373, 1
1100, 1
1426, 1
1453, 1
1170, 1
774, 1
909, 1
980, 1
1360, 1
1297, 1
1550, 1
1463, 1
1734, 1
1638, 1
1638, 1
1647, 1
1529, 1
1729, 1
1379, 1
1329, 1
1340, 1
1171, 1
1238, 1
1310, 1
1133, 1
1133, 1
1410, 1
1271, 1
1251, 1
1561, 1
1216, 1
1600, 1
1749, 1
1280, 1
1525, 1
1206, 1
1014, 1
975, 1
1083, 1
814, 1
789, 1
783, 1
871, 1
722, 1
227, 1
227, 1
227, 1
886, 1
839, 1
318, 1
496, 1
602, 1
1027, 1
931, 1
1310, 1
1192, 1
1423, 1
1337, 1
997, 1
1186, 1
1128, 1
1215, 1
1204, 1
1304, 1
1332, 1
1355, 1
1406, 1
1413, 1
1290, 1
1524, 1
1412, 1
1439, 1
1136, 1
993, 1
984, 1
1114, 1
1247, 1
1281, 1
1122, 1
1293, 1
1397, 1
1239, 1
1181, 1
1317, 1
1352, 1
1187, 1
1187, 1
1468, 1
981, 1
1106, 1
1024, 1
1377, 1
1210, 1
565, 1
576, 1
881, 1
900, 1
1048, 1
1007, 1
1040, 1
1048, 1
1072, 1
1092, 1
1110, 1
1100, 1
1055, 1
922, 1
953, 1
934, 1
823, 1
908, 1
957, 1
713, 1
835, 1
1113, 1
563, 1
563, 1
898, 1
1508, 1
1756, 1
1703, 1
1483, 1
1260, 1
1470, 1
1446, 1
1481, 1
1567, 1
1420, 1
1567, 1
1193, 1
1529, 1
1366, 1
1532, 1
1365, 1
1605, 1
1596, 1
925, 1
931, 1
1068, 1
1488, 1
852, 1
964, 1
1299, 1
1216, 1
1349, 1
1562, 1
1562, 1
1771, 1
1672, 1
1556, 1
1539, 1
1612, 1
1345, 1
1191, 1
865, 1
1007, 1
1154, 1
1232, 1
1311, 1
1316, 1
1316, 1
1383, 1
1390, 1
1251, 1
1057, 1
1054, 1
1201, 1
1269, 1
1462, 1
1470, 1
1316, 1
1240, 1
1081, 1
1097, 1
1125, 1
1401, 1
1254, 1
1116, 1
1225, 1
1113, 1
1144, 1
1144, 1
1233, 1
950, 1
1156, 1
1010, 1
1008, 1
1345, 1
1058, 1
1137, 1
1246, 1
1341, 1
1578, 1
1523, 1
1540, 1
1546, 1
1492, 1
1499, 1
1578, 1
1603, 1
1554, 1
762, 1
1060, 1
1511, 1
1366, 1
1504, 1
1452, 1
1586, 1
1092, 1
108, 1
108, 1
108, 1
108, 1
108, 1
108, 1
108, 1
108, 1
45, 1
929, 1
1655, 1
1869, 1
1550, 1
1757, 1
1652, 1
1852, 1
1983, 1
1983, 1
1799, 1
2065, 1
1673, 1
2482, 1
1875, 1
2426, 1
1756, 1
1695, 1
1903, 1
1527, 1
1339, 1
1284, 1
1011, 1
851, 1
58, 1
58, 1
58, 1
58, 1
58, 1
58, 1
58, 1
58, 1
58, 1
3233, 1
1704, 1
1415, 1
1222, 1
1328, 1
1203, 1
1394, 1
1018, 1
531, 1
555, 1
756, 1
758, 1
758, 1
799, 1
1194, 1
1274, 1
1327, 1
1491, 1
1235, 1
1500, 1
1381, 1
1338, 1
1315, 1
1116, 1
1310, 1
1458, 1
1336, 1
1450, 1
1062, 1
1240, 1
1095, 1
1042, 1
80, 1
80, 1
80, 1
80, 1
80, 1
2901, 1
1686, 1
1515, 1
1410, 1
1306, 1
1354, 1
1217, 1
1310, 1
1246, 1
1170, 1
912, 1
1050, 1
1183, 1
1169, 1
1169, 1
1498, 1
1441, 1
1384, 1
1199, 1
1382, 1
1378, 1
942, 1
608, 1
636, 1
1113, 1
969, 1
974, 1
983, 1
1026, 1
1054, 1
1139, 1
234, 1
234, 1
234, 1
234, 1
3344, 1
1566, 1
1118, 1
911, 1
619, 1
354, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
10, 1
22, 1
22, 1
9, 1
11, 1
11, 1
31, 1
18, 1
18, 1
13, 1
11, 1
11, 1
11, 1
11, 1
11, 1
35, 1
52, 1
95, 1
113, 1
106, 1
112, 1
126, 1
132, 1
124, 1
124, 1
161, 1
142, 1
154, 1
149, 1
142, 1
154, 1
144, 1
159, 1
144, 1
150, 1
151, 1
150, 1
63, 1
63, 1
103, 1
126, 1
149, 1
162, 1
138, 1
138, 1
138, 1
161, 1
177, 1
143, 1
159, 1
139, 1
171, 1
163, 1
158, 1
156, 1
157, 1
155, 1
151, 1
136, 1
136, 1
183, 1
162, 1
159, 1
16, 1
16, 1
16, 1
16, 1
16, 1
16, 1
16, 1
16, 1
16, 1
16, 1
1143, 1
437, 1
212, 1
183, 1
169, 1
155, 1
157, 1
145, 1
146, 1
162, 1
158, 1
158, 1
153, 1
50, 1
74, 1
115, 1
115, 1
147, 1
135, 1
124, 1
136, 1
123, 1
118, 1
121, 1
122, 1
127, 1
105, 1
104, 1
98, 1
104, 1
93, 1
93, 1
90, 1
56, 1
79, 1
61, 1
75, 1
67, 1
56, 1
56, 1
54, 1
43, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
75, 1
75, 1
27, 1
27, 1
27, 1
27, 1
27, 1
237, 1
237, 1
237, 1
148, 1
148, 1
131, 1
129, 1
149, 1
144, 1
156, 1
166, 1
61, 1
61, 1
61, 1
61, 1
460, 1
200, 1
139, 1
133, 1
131, 1
124, 1
152, 1
56, 1
56, 1
74, 1
111, 1
114, 1
137, 1
124, 1
124, 1
118, 1
127, 1
135, 1
117, 1
130, 1
132, 1
130, 1
127, 1
127, 1
149, 1
155, 1
133, 1
153, 1
150, 1
158, 1
161, 1
155, 1
129, 1
168, 1
159, 1
158, 1
160, 1
145, 1
148, 1
156, 1
155, 1
155, 1
155, 1
158, 1
134, 1
134, 1
172, 1
117, 1
121, 1
122, 1
95, 1
123, 1
127, 1
128, 1
144, 1
152, 1
137, 1
163, 1
152, 1
122, 1
26, 1
26, 1
26, 1
26, 1
26, 1
26, 1
26, 1
26, 1
497, 1
295, 1
295, 1
150, 1
169, 1
163, 1
139, 1
169, 1
153, 1
138, 1
143, 1
143, 1
154, 1
153, 1
181, 1
139, 1
151, 1
143, 1
135, 1
128, 1
27, 1
27, 1
27, 1
27, 1
27, 1
27, 1
27, 1
27, 1
27, 1
902, 1
278, 1
166, 1
142, 1
131, 1
116, 1
129, 1
125, 1
105, 1
121, 1
117, 1
116, 1
116, 1
97, 1
91, 1
94, 1
70, 1
88, 1
72, 1
66, 1
63, 1
60, 1
57, 1
57, 1
34, 1
9, 1
9, 1
9, 1
9, 1
42, 1
53, 1
53, 1
69, 1
69, 1
102, 1
93, 1
90, 1
104, 1
87, 1
93, 1
109, 1
102, 1
73, 1
90, 1
104, 1
146, 1
137, 1
137, 1
175, 1
129, 1
144, 1
166, 1
163, 1
154, 1
159, 1
156, 1
159, 1
130, 1
171, 1
161, 1
161, 1
20, 1
20, 1
20, 1
20, 1
20, 1
20, 1
20, 1
20, 1
20, 1
20, 1
944, 1
456, 1
162, 1
162, 1
140, 1
152, 1
139, 1
146, 1
146, 1
168, 1
154, 1
158, 1
124, 1
178, 1
129, 1
170, 1
128, 1
144, 1
151, 1
153, 1
146, 1
146, 1
134, 1
142, 1
78, 1
119, 1
138, 1
129, 1
87, 1
125, 1
130, 1
146, 1
103, 1
122, 1
122, 1
126, 1
61, 1
98, 1
81, 1
81, 1
118, 1
119, 1
119, 1
118, 1
90, 1
108, 1
108, 1
104, 1
