profile sample method avgR ineff p1 p2  change p3 p4 p5 p6 p7
p2 t3 bola  1198 0.472123 0 14.1329 0 3.90062 0.543572 0.0397027 1198 26
p2 t3 dy  2698.51 0.30183 541.107 4.61037 31 2.54388 0.0823281 0.0848216 2906.7 56
p2 t3 elastic  3292.14 0.212998 0 14.2826 40 18.8247 0.375858 0.0574084 3460 38
p2 t3 gd  2696.7 0.299659 540.384 4.57204 31 3.05266 0.093307 0.0742496 2904.4 49
p2 t3 kama  2767.32 0.335266 524.549 15.3539 43 2.71348 0.260236 0.0878397 2963.7 59
p2 t3 qlast  3198.66 0.301528 542.544 3.83708 46 3.05266 0.100976 0.0576144 3390.49 38
p2 t3 ra  2777.9 0.333871 532.991 7.23415 39 3.05266 0.0769591 0.142009 2982.61 94
p2 t4 abr  1763.98 0.390573 537.583 1.56793 5 3.39793 0.0653303 0.0402245 1864.65 24
p2 t4 ar  2767.53 0.248445 538.721 1.52503 15 2.5889 0.0635431 0.0401458 3014.57 24
p2 t4 bb  3336.85 0.44983 536.502 1.57846 4 3.23613 0.0657692 0.0402248 3544.04 24
p2 t4 bola  2872.66 0.294352 537.464 1.26956 5 22.3293 0.0604554 0.0351805 3118.23 21
p2 t4 dy  2767.14 0.241084 539.047 1.50812 11 3.55974 0.0628383 0.0401565 3013.29 24
p2 t4 elastic  3184.9 0.127468 212.42 1.57846 10 3.23613 0.0657692 0.0402201 3394.3 24
p2 t4 gd  2781.69 0.243018 539.69 1.55999 9 2.5889 0.0649997 0.0401506 3027.24 24
p2 t4 kama  2843.87 0.250704 538.651 1.50167 9 3.07432 0.0625698 0.0401477 3104.35 24
p2 t4 qlast  2764.97 0.246939 534.292 1.58638 21 2.75071 0.0660993 0.0401483 3011.24 24
p2 t4 ra  2839.08 0.256879 539.093 1.59526 11 2.5889 0.0664693 0.0401504 3095.63 24
p2 t5 abr  1840.93 0.434025 146.789 1.84846 4 27.1204 0.0770193 0.0974461 1905.89 24
p2 t5 ar  1914.97 0.450782 131.857 6.50262 4 2.05652 0.0985245 0.24505 1960.85 66
p2 t5 bb  547.678 0.759579 196.702 1.81163 5 3.72745 0.0754846 0.0978781 554.115 24
p2 t5 bola  1839.93 0.430616 146.209 1.67089 4 7.84049 0.0668357 0.101567 1905.08 25
p2 t5 dy  1923.41 0.440638 131.413 6.00507 4 2.31359 0.0909859 0.243769 1965.82 66
p2 t5 elastic  1200.02 0.493184 131.835 9.33864 8 8.74022 0.0952923 0.354993 1445.25 98
p2 t5 gd  1910.75 0.446813 131.884 4.60271 4 2.18505 0.104607 0.164485 1956.81 44
p2 t5 kama  1915.33 0.444371 131.647 6.35557 4 2.18505 0.109579 0.215614 1961.25 58
p2 t5 qlast  1937.07 0.434224 132.137 9.5813 4 2.18505 0.101929 0.340126 1974.72 94
p2 t5 ra  1843.58 0.433613 149.857 4.03925 4 2.18505 0.106296 0.154256 1906.89 38
p2 t6 abr  2100.46 0.388533 497.213 4.08811 32 1.95628 0.0817622 0.078241 2211.92 50
p2 t6 ar  2177.34 0.279627 389.752 4.29928 22 1.30419 0.0934626 0.0717835 2318.29 46
p2 t6 bb  4091.08 0.549936 556.445 2.36027 23 3.33292 0.0983445 0.0377222 4627.16 24
p2 t6 bola  2534.43 0.300222 181.821 3.75055 19 5.79639 0.0872221 0.0672609 2630.78 43
p2 t6 dy  2181.06 0.283473 395.751 4.07699 20 1.37664 0.0886302 0.0717574 2325.03 46
p2 t6 elastic  2938.71 0.236415 0 11.093 46 5.07184 0.0652532 0.259685 3186.93 170
p2 t6 gd  2181.52 0.289313 377.649 4.26754 20 1.23173 0.0927726 0.0717819 2326.14 46
p2 t6 kama  2183.99 0.288827 344.838 4.34245 14 1.23173 0.0944011 0.0717812 2285.95 46
p2 t6 qlast  2220.98 0.291667 390.193 4.30885 38 1.15928 0.0936707 0.0717565 2412.51 46
p2 t6 ra  2330.29 0.293015 287.559 4.41599 12 0.941913 0.0959998 0.0717797 2418.3 46
p2 t7 abr  2303.46 0.405953 522.771 2.58237 33 1.75162 0.107599 0.0366109 2470.51 24
p2 t7 ar  2268.83 0.268943 331.899 2.64998 19 1.50139 0.110416 0.0364301 2437.91 24
p2 t7 bb  2804.4 0.534688 565.524 2.06843 8 4.25393 0.0738724 0.0427004 2969.17 28
p2 t7 bola  2585.79 0.282319 209.794 2.25828 16 11.9277 0.0903311 0.038135 2739.09 25
p2 t7 dy  2293.66 0.274414 313.441 2.63918 15 1.50139 0.109966 0.0364275 2463.47 24
p2 t7 elastic  2605.61 0.200816 0 4.7276 46 10.5931 0.0675371 0.106476 2746.37 70
p2 t7 gd  2276.85 0.278934 306.681 2.61593 15 1.41798 0.108997 0.0364252 2444.43 24
p2 t7 kama  2260.23 0.268606 383.521 2.56657 17 1.33457 0.10694 0.0364238 2407.26 24
p2 t7 qlast  2284.54 0.259935 321.989 2.74834 33 1.16774 0.114514 0.0364257 2449.49 24
p2 t7 ra  2476.55 0.261134 129.919 2.56326 12 1.41798 0.106803 0.0364246 2621.88 24
p3 t1 abr  1343.42 0.323575 503.774 6.39366 12 3.55932 0.0560847 0.189099 1396.45 114
p3 t1 ar  1725.21 0.300738 429.972 5.16402 27 2.71186 0.0629759 0.135527 1841.84 82
p3 t1 bb  1448.6 0.358693 527.675 1.98894 10 255.593 0.0355168 0.0929606 1511.7 56
p3 t1 bola  1853.02 0.25817 178.804 5.12241 10 4.0678 0.0588782 0.144287 1966.23 87
p3 t1 dy  1793.48 0.342284 505.965 2.63841 17 2.20339 0.0549668 0.0796209 1961.86 48
p3 t1 elastic  1859.49 0.199037 7.955 5.49134 49 2.37288 0.0549134 0.16559 2036.02 100
p3 t1 gd  1814.97 0.366056 505.81 5.55079 13 8.47458 0.0603347 0.152343 2010.51 92
p3 t1 kama  1792.36 0.351501 506.215 6.47397 21 14.5763 0.0653937 0.163707 1976.75 99
p3 t1 qlast  1800 0.298469 394.348 7.872 57 3.22034 0.07872 0.165627 1952.54 100
p3 t1 ra  1785.55 0.345079 506.114 6.61872 17 2.88136 0.0648894 0.168548 1967.71 102
p3 t2 abr  1699.53 0.220358 490.074 1.34734 4 3.66554 0.0320795 0.0633575 1713.47 42
p3 t2 ar  2200.7 0.2088 401.542 2.49506 32 6.18559 0.0378039 0.0993587 2387.24 66
p3 t2 bb  2079.02 0.235659 511.304 1.19151 13 4.81102 0.0313554 0.0572731 2104.58 38
p3 t2 bola  2129.93 0.231795 42.52 1.10152 3 6.64379 0.028244 0.0586097 2151.65 39
p3 t2 dy  1942.12 0.236742 503.09 1.92759 14 4.35282 0.0438088 0.0663535 2067.91 44
p3 t2 elastic  2219.99 0.157194 0 2.17187 27 5.26921 0.0350302 0.0928473 2327.78 62
p3 t2 gd  1893.64 0.275025 510.742 1.91971 6 3.89463 0.0369175 0.0784145 2024.93 52
p3 t2 kama  2177.31 0.210754 510.356 1.30003 13 3.20734 0.0382363 0.0512234 2285.14 34
p3 t2 qlast  2258.36 0.223833 390.222 2.63363 54 3.20734 0.0454073 0.0873365 2453.95 58
p3 t2 ra  2103.68 0.200494 510.537 2.52275 17 3.43644 0.0382235 0.0992696 2185.23 66
p3 t3 abr  1321.73 0.299722 519.372 2.97637 22 3.56144 0.0620078 0.0731537 1351.92 48
p3 t3 ar  2682.42 0.174075 498.999 2.08784 36 14.0762 0.0596526 0.0531396 2980.95 35
p3 t3 bb  1882.41 0.307053 532.486 2.55895 5 3.73103 0.0825468 0.0472611 1898.98 31
p3 t3 bola  2154.28 0.219575 141.574 2.58021 5 3.90062 0.0737203 0.0532373 2282.79 35
p3 t3 dy  2076.5 0.201996 505.583 2.18845 25 3.05266 0.0312636 0.104166 2269.26 70
p3 t3 elastic  2305.47 0.143536 0.748 1.63938 67 4.4094 0.0341537 0.0730615 2527.85 48
p3 t3 gd  1880.3 0.256907 492.379 1.29363 9 2.71348 0.0517452 0.0379658 1959.75 25
p3 t3 kama  2112.54 0.211022 506.641 7.76567 27 3.22225 0.0958725 0.120247 2298.34 81
p3 t3 qlast  2305.76 0.179989 493.906 1.91036 69 2.71348 0.0909696 0.0318887 2565.28 21
p3 t3 ra  2644.5 0.201501 522.83 2.3449 28 3.05266 0.0617078 0.0577038 2935.6 38
p3 t4 abr  1305.21 0.300885 523.492 0.989877 10 4.20697 0.0412449 0.0401183 1335.3 24
p3 t4 ar  1782.86 0.19545 525.213 0.659811 14 22.9765 0.0274921 0.0400015 2061.11 24
p3 t4 bb  1707.07 0.32614 521.254 0.641742 3 11.0028 0.0320871 0.0333042 1721.54 20
p3 t4 bola  1745.38 0.249373 520.082 0.914549 1 3.72155 0.036582 0.0417451 1753.92 25
p3 t4 dy  1789.44 0.234266 525.295 1.0271 16 2.75071 0.0513548 0.0333407 2056.97 20
p3 t4 elastic  2179.59 0.153003 322.944 0.98818 21 2.4271 0.0411742 0.0400307 2415.82 24
p3 t4 gd  1719.49 0.315578 525.521 1.04896 10 2.5889 0.0437069 0.0400237 1883.76 24
p3 t4 kama  2059.05 0.270945 528.292 1.09293 15 2.4271 0.0546463 0.0333538 2288.92 20
p3 t4 qlast  2475.5 0.165986 514.272 0.707741 20 9.70838 0.035387 0.0333248 2806.5 20
p3 t4 ra  1982.45 0.237874 525.129 0.786261 17 18.2841 0.0327609 0.0400514 2193.07 24
p3 t5 abr  855.364 0.391478 155.916 7.54583 17 3.34185 0.215595 0.14241 994.357 35
p3 t5 ar  1448.91 0.326664 85.91 6.58247 22 2.05652 0.0866115 0.288048 1552.86 76
p3 t5 bb  538.535 0.690546 188.518 0.847429 5 2.82772 0.0423714 0.0809363 548.047 20
p3 t5 bola  1495.83 0.384744 168.014 0.907854 13 3.72745 0.0363142 0.101439 1596.26 25
p3 t5 dy  1377.14 0.299553 89.432 8.625 11 1.92799 0.08625 0.366693 1447.91 100
p3 t5 elastic  1795.5 0.25832 23.518 12.0476 24 2.31359 0.0912699 0.410761 1867.51 132
p3 t5 gd  1112.56 0.405594 72.601 7.33781 10 1.92799 0.0917227 0.303785 1182.44 80
p3 t5 kama  1129.55 0.365092 71.57 12.8293 6 1.79946 0.105158 0.450233 1184.93 122
p3 t5 qlast  1397.73 0.319615 127.591 15.0247 30 2.18505 0.0905103 0.534754 1508.61 166
p3 t5 ra  1090.59 0.416968 154.316 3.61782 8 1.67092 0.0977789 0.146397 1150.1 37
p3 t6 abr  1043.21 0.38328 497.442 1.45971 63 1.88383 0.0608211 0.0376311 1192.41 24
p3 t6 ar  1480.24 0.263813 7.758 1.58172 52 1.66646 0.065905 0.0375323 1634.75 24
p3 t6 bb  1459.62 0.510776 551.612 1.33707 16 1.73892 0.0477524 0.0438538 1643.75 28
p3 t6 bola  1518.77 0.286365 0 1.61432 36 1.95628 0.064573 0.0392226 1634.51 25
p3 t6 dy  1389.14 0.296803 168.344 3.39224 26 1.15928 0.0997716 0.0529889 1498.61 34
p3 t6 elastic  1856.94 0.220539 0 9.37138 119 1.88383 0.0535507 0.266924 2182.58 175
p3 t6 gd  1217.87 0.372215 330.405 3.5576 14 1.15928 0.0936209 0.0593133 1256.77 38
p3 t6 kama  1507.17 0.296285 0 3.75944 17 0.941913 0.0989326 0.0592002 1582.36 38
p3 t6 qlast  1434.67 0.246029 133.167 3.23714 106 1.37664 0.0770746 0.0654775 1584.23 42
p3 t6 ra  1545.88 0.289976 0 3.50985 19 1.23173 0.0923646 0.0593211 1633.58 38
p3 t7 abr  957.326 0.464561 483.664 2.87638 47 1.5848 0.0737532 0.0593716 1084.82 39
p3 t7 ar  1529.87 0.306336 437.16 2.01184 50 1.00092 0.0838265 0.0363661 1700.54 24
p3 t7 bb  1700.7 0.536833 559.111 1.34556 8 2.08526 0.0480559 0.0425978 1863.5 28
p3 t7 bola  1703.21 0.321373 44.547 1.5688 16 2.25208 0.0627522 0.0380781 1843.65 25
p3 t7 dy  1356.61 0.32658 440.306 2.52132 15 8.92491 0.0840439 0.0454355 1497.97 30
p3 t7 elastic  1776.07 0.285606 0 1.48359 111 1.83503 0.0618164 0.0365299 1975.63 24
p3 t7 gd  1668.61 0.366607 318.335 2.09151 19 1.25116 0.0871463 0.0364028 1788.39 24
p3 t7 kama  1520.92 0.314168 433.216 3.43743 14 1.5848 0.101101 0.05156 1652.49 34
p3 t7 qlast  1724.36 0.320848 441.036 2.02394 91 1.41798 0.0722836 0.0424665 1928.5 28
p3 t7 ra  1492.1 0.314702 430.101 1.60915 18 1.33457 0.0574696 0.0423777 1599.71 28
p4 t1 abr  1200 0.153942 141.48 20.3572 0 2.37288 0.0489355 0.629929 1200 416
p4 t1 ar  2084.03 0.15326 123.492 14.6801 30 2.71186 0.0298377 0.569082 2474.94 492
p4 t1 bb  1200 0.150657 141.912 14.6498 0 9.32203 0.0434711 0.510707 1200 337
p4 t1 bola  1200 0.15503 141.386 15.3682 0 5.25424 0.0432907 0.537761 1200 355
p4 t1 dy  1501.21 0.155954 195.839 15.0337 12 1.35593 0.0415295 0.518051 1742.53 362
p4 t1 elastic  1279.13 0.125962 21.081 16.0177 14 2.54237 0.0460279 0.527333 1307.31 348
p4 t1 gd  1470.97 0.165498 198.126 15.962 4 2.54237 0.0392187 0.578937 1695.91 407
p4 t1 kama  1200 0.156511 147.432 21.052 0 2.88136 0.0468863 0.678649 1200 449
p4 t1 qlast  2360.69 0.143474 45.015 11.0802 40 2.88136 0.0337811 0.381437 2753.51 328
p4 t1 ra  1200 0.14765 148.448 21.7402 0 3.22034 0.0451979 0.726789 1200 481
p4 t2 abr  1622 0.122225 86.067 8.2787 0 5.7274 0.0356841 0.326716 1622 232
p4 t2 ar  2647.99 0.10689 0 8.30892 18 3.20734 0.027789 0.339497 2911.7 299
p4 t2 bb  1622 0.222229 84.651 7.37129 0 5.7274 0.0315012 0.328542 1622 234
p4 t2 bola  1622 0.156206 53.076 7.52328 0 4.81102 0.0331422 0.319166 1622 227
p4 t2 dy  2400.91 0.109027 10.224 4.68872 6 4.12373 0.0194553 0.283361 2658.93 241
p4 t2 elastic  1685.88 0.148269 0 9.67102 8 4.58192 0.0302219 0.410401 1697.72 320
p4 t2 gd  2874.4 0.122097 0 8.49829 6 47.8811 0.025368 0.437739 3125.43 335
p4 t2 kama  2845.44 0.152072 0 6.34405 4 3.20734 0.0187694 0.396301 3098.91 338
p4 t2 qlast  2790.74 0.10994 0 3.48818 34 2.97825 0.019487 0.200771 3048.2 179
p4 t2 ra  1808.05 0.181239 54.236 9.81263 4 4.58192 0.0336049 0.345092 1921.24 292
p4 t3 abr  1198 0.107671 382.34 3.69599 0 4.07022 0.0637241 0.0883929 1198 58
p4 t3 ar  2067.53 0.127544 346.088 5.95082 45 1.69592 0.0348001 0.234217 2336.3 171
p4 t3 bb  1548.81 0.110167 383.774 14.7514 33 2.71348 0.475853 0.0472627 1596.24 31
p4 t3 bola  1281 0.157801 0 16.8454 1 6.95328 0.244137 0.105143 1303.26 69
p4 t3 dy  1571.1 0.153815 354.168 7.96781 24 2.88307 0.0711411 0.158816 1805.38 112
p4 t3 elastic  1701.24 0.11789 0.46 4.08655 59 3.05266 0.0510819 0.120999 1835.13 80
p4 t3 gd  1209.81 0.130954 406.676 5.96035 2 3.22225 0.0509431 0.175678 1213.53 117
p4 t3 kama  1314.95 0.125977 409.005 5.2414 10 2.37429 0.046384 0.169637 1405.32 113
p4 t3 qlast  2496.92 0.120903 296.194 3.25547 46 2.2047 0.0561288 0.0821913 2847.4 58
p4 t3 ra  1506.18 0.131868 408.033 7.98496 13 2.2047 0.0643948 0.18619 1553.31 124
p4 t4 abr  1143 0.115572 402.363 0.864396 0 12.6209 0.0360165 0.0401076 1143 24
p4 t4 ar  1972.17 0.132162 429.602 3.30841 23 2.4271 0.0324354 0.151942 2290.52 102
p4 t4 bb  1428.36 0.114813 402.041 0.970135 17 4.20697 0.0404223 0.0400953 1464.53 24
p4 t4 bola  1143 0.129197 400.193 1.00299 0 8.73754 0.0401197 0.0418104 1143 25
p4 t4 dy  1613.02 0.137248 391.158 1.98357 11 2.5889 0.0450811 0.0700311 1802.15 44
p4 t4 elastic  1460.93 0.10852 213.527 1.02635 21 6.31045 0.0427645 0.0401326 1496.84 24
p4 t4 gd  1143 0.121348 407.83 1.23406 0 2.4271 0.0514191 0.040032 1143 24
p4 t4 kama  1383.69 0.132624 415.749 2.20982 11 1.29445 0.0581532 0.0631974 1419.01 38
p4 t4 qlast  2134.64 0.126665 351.639 3.20067 35 2.4271 0.0340497 0.138855 2478.28 94
p4 t4 ra  1366.63 0.137005 405.255 1.26188 7 2.75071 0.0525783 0.0401053 1401.24 24
p4 t5 abr  744.809 0.384774 125.612 3.69429 16 5.5269 0.0671688 0.206887 779.218 55
p4 t5 ar  675.225 0.300487 101.109 2.78677 19 1.54239 0.0733361 0.145479 703.881 38
p4 t5 bb  492.046 0.531546 171.251 1.33487 11 2.05652 0.0556197 0.0976213 506.468 24
p4 t5 bola  814.067 0.295525 55.619 4.02831 10 14.9098 0.0719341 0.209401 833.461 56
p4 t5 dy  718.274 0.360197 135.045 10.9538 10 8.86875 0.173869 0.244776 752.11 63
p4 t5 elastic  922.491 0.290822 0 8.15844 32 2.18505 0.135974 0.223842 992.217 60
p4 t5 gd  808.889 0.281529 97.304 2.8392 6 1.67092 0.0676 0.155251 828.31 42
p4 t5 kama  574.435 0.443671 123.712 3.66962 7 1.92799 0.0667204 0.210258 584.492 55
p4 t5 qlast  626.031 0.281288 116.034 10.5558 22 2.05652 0.211116 0.19492 673.778 50
p4 t5 ra  822.79 0.300753 119.404 4.40555 6 1.54239 0.0699294 0.224104 840.991 63
p4 t6 abr  598.847 0.370689 400.742 3.41328 64 2.82574 0.0898232 0.0595723 641.611 38
p4 t6 ar  957.485 0.255142 46.173 8.94126 63 1.52155 0.0982556 0.140461 1010.92 91
p4 t6 bb  965.26 0.434046 542.1 1.91478 13 1.88383 0.0797827 0.0376888 1042.12 24
